"Rank","Name","Nat.","Age*","Result","PaR","PcR","C1",09/30/12,"Vlammse Industrieprijs Bosduin"
1,"Sven NYS","BEL",37,56:14:00,80,80,,,
2,"Niels ALBERT","BEL",27,56:14:00,60,60,,,
3,"Tom MEEUSEN","BEL",25,56:14:00,40,40,,,
4,"Lars VAN DER HAAR","NED",22,56:27:00,30,30,,,
5,"Bart WELLENS","BEL",35,56:27:00,25,25,,,
6,"Kevin PAUWELS","BEL",29,56:27:00,20,20,,,
7,"Radomir SIMUNEK","CZE",30,56:50:00,17,17,,,
8,"Bart AERNOUTS","BEL",31,56:50:00,15,15,,,
9,"Francis MOUREY","FRA",33,56:50:00,12,12,,,
10,"Rob PEETERS","BEL",28,56:57:00,10,10,,,
11,"Vincent BAESTAENS","BEL",24,57:18:00,8,8,,,
12,"Klaas VANTORNOUT","BEL",31,57:28:00,6,6,,,
13,"Jan DENUWELAERE","BEL",25,57:33:00,4,4,,,
14,"Lubomir PETRUS","CZE",23,57:33:00,2,2,,,
15,"Philipp WALSLEBEN","GER",26,57:33:00,1,1,,,
16,"Micki VAN EMPEL","NED",23,57:40:00,,,,,
17,"Jim AERNOUTS","BEL",24,57:40:00,,,,,
18,"Niels WUBBEN","NED",25,57:49:00,,,,,
19,"Martin ZLAMALIK","CZE",31,58:04:00,,,,,
20,"Mariusz GIL","POL",30,58:40:00,,,,,
21,"Eddy VAN IJZENDOORN","NED",28,58:55:00,,,,,
22,"Gianni DENOLF","BEL",26,59:11:00,,,,,
23,"Egoitz MURGOITIO REKALDE","ESP",30,59:28:00,,,,,
24,"Bart HOFMAN","BEL",28,59:42:00,,,,,
25,"Stef BODEN","BEL",23,01:00:10 AM,,,,,
26,"Dries PAUWELS","BEL",25,01:00:10 AM,,,,,
27,"Alexander REVELL","NZL",28,,,,,,
