"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2","09/23/12","Charm City Cross - Day 2"
1,"Nicolas BAZIN","FRA",30,56:56:00,40,40,,,
2,"Ian FIELD","GBR",27,57:07:00,30,30,,,
3,"Flavien DASSONVILLE","FRA",22,57:21:00,20,20,,,
4,"Dan TIMMERMAN","USA",33,57:29:00,15,15,,,
5,"Chase DICKENS","USA",18,57:45:00,10,0*,,,
6,"Daniel CHABANOV","USA",26,57:46:00,8,8,,,
7,"Weston SCHEMPF","USA",36,57:47:00,6,6,,,
8,"Anthony CLARK","USA",26,57:47:00,4,4,,,
9,"Ben FREDERICK","USA",24,57:51:00,2,2,,,
10,"Stephen CUMMINGS","USA",33,57:58:00,1,1,,,
11,"Christian FAVATA","USA",35,58:08:00,,,,,
12,"Greg WITTWER","USA",30,58:21:00,,,,,
13,"Ryan DEWALD","USA",34,58:33:00,,,,,
14,"Jared NIETERS","USA",36,59:00:00,,,,,
15,"Robert MARION","USA",31,59:13:00,,,,,
16,"Cole OBERMAN","USA",23,59:21:00,,,,,
17,"Thomas SAMPSON","USA",24,59:33:00,,,,,
18,"Timothy RUGG","USA",28,59:36:00,,,,,
19,"Ryan KNAPP","USA",29,01:00:01,,,,,
20,"Josh WHITNEY","USA",32,01:00:05,,,,,
21,"Maurice GAMANHO","USA",41,01:00:06,,,,,
22,"Jacob SITLER","USA",24,01:00:07,,,,,
23,"Ryan FAWLEY","USA",28,01:00:13,,,,,
24,"Gerald ADASAVAGE","USA",27,01:00:13,,,,,
25,"Justin CRAWFORD","USA",24,01:01:08,,,,,
26,"Nicholas KEOUGH","USA",24,01:01:18,,,,,
27,"Patrick BRADLEY","USA",23,01:01:30,,,,,
28,"Andy BROOKS","USA",27,01:01:40,,,,,
29,"Jordan VILLELLA","USA",31,01:01:40,,,,,
30,"Michael GREEN","USA",34,01:01:59,,,,,
31,"Derek YARRA","USA",26,01:02:05,,,,,
32,"Michael RUNNALS","USA",40,01:02:08,,,,,
33,"Mike FESTA","USA",30,01:02:25,,,,,
34,"Brett ROTHMEYER","USA",36,01:02:35,,,,,
35,"Willem HEYDENDAEL","USA",35,01:02:51,,,,,
36,"Craig LEBAIR","USA",30,01:03:01,,,,,
37,"Evan MURPHY","USA",25,01:03:17,,,,,
38,"Brendan MCGRATH","USA",29,01:03:51,,,,,
39,"Patrick BLAIR","USA",32,,,,,,
40,"Christopher CONSORTO","USA",29,,,,,,
41,"Gordon DANIELL","USA",35,,,,,,
42,"Nicholas SHAFFER","USA",33,,,,,,
