"Rank","Name","Nat.","Age*","Result","PaR","PcR","C1","09/19/12","CrossVegas"
1,"Jeremy POWERS","USA",30,01:00:21,80,80,,,
2,"Timothy JOHNSON","USA",36,01:00:40,60,60,,,
3,"Ben BERDEN","BEL",38,01:00:48,40,40,,,
4,"Lars VAN DER HAAR","NED",22,01:00:51,30,30,,,
5,"Geoff KABUSH","CAN",36,01:00:53,25,25,,,
6,"Ryan TREBON","USA",32,01:00:53,20,20,,,
7,"Arnaud JOUFFROY","FRA",23,01:01:16,17,17,,,
8,"Jonathan PAGE","USA",37,01:01:49,15,15,,,
9,"Lukas FLÜCKIGER","SUI",29,01:01:51,12,12,,,
10,"James DRISCOLL","USA",27,01:01:52,10,10,,,
11,"Zach MCDONALD","USA",22,01:02:08,8,8,,,
12,"Niels WUBBEN","NED",25,01:02:17,6,6,,,
13,"Carl DECKER","USA",38,01:02:37,4,4,,,
14,"Yannick ECKMANN","GER",20,01:02:37,2,2,,,
15,"Brian MATTER","USA",35,01:02:38,1,1,,,
16,"Bradley WHITE","USA",31,01:02:38,,,,,
17,"Christoph PFINGSTEN","GER",26,01:03:18,,,,,
18,"Rob PEETERS","BEL",28,01:03:36,,,,,
19,"Travis LIVERMON","USA",25,01:03:36,,,,,
20,"Jeremy DURRIN","USA",25,01:03:45,,,,,
21,"Justin LINDINE","USA",29,01:03:52,,,,,
22,"Lukas WINTERBERG","SUI",25,01:03:59,,,,,
23,"Troy WELLS","USA",29,01:04:06,,,,,
24,"Christian HELMIG","LUX",32,01:04:23,,,,,
25,"Dylan MCNICHOLAS","USA",33,01:04:25,,,,,
26,"Mitchell HOKE","USA",25,01:04:29,,,,,
27,"Sean BABCOCK","USA",30,01:04:30,,,,,
28,"Jake WELLS","USA",35,01:04:31,,,,,
29,"Tim ALLEN","USA",27,01:04:31,,,,,
30,"Spencer PAXSON","USA",29,01:04:36,,,,,
31,"Cody KAISER","USA",21,01:04:58,,,,,
32,"Steve FISHER","USA",23,01:05:24,,,,,
33,"Aaron SCHOOLER","CAN",28,01:05:38,,,,,
34,"Christopher JONES","USA",34,01:05:43,,,,,
35,"Robert MARION","USA",31,01:05:43,,,,,
36,"Adam MYERSON","USA",41,01:05:43,,,,,
37,"Edward KING","USA",30,01:05:54,,,,,
38,"Russell FINSTERWALD","USA",22,01:06:00,,,,,
39,"Ken BENESH","USA",30,01:06:04,,,,,
40,"Jason SIEGLE","USA",34,01:06:18,,,,,
41,"Tyler WREN","USA",32,01:06:31,,,,,
42,"Ryan KNAPP","USA",29,01:06:40,,,,,
43,"Mark MCCONNELL","CAN",25,01:06:54,,,,,
44,"Keegan SWENSON","USA",19,01:07:45,,,,,
45,"Grant HOLICKY","USA",40,,,,,,
46,"Scott TIETZEL","USA",29,,,,,,
47,"Sid TABERLAY","AUS",33,,,,,,
48,"Joachim PARBO","DEN",39,,,,,,
49,"Mitchell KERSTING","USA",28,,,,,,
50,"Robin ECKMANN","GER",21,,,,,,
51,"Chase DICKENS","USA",18,,,,,,
52,"William IAIA","USA",31,,,,,,
53,"Bryan FAWLEY","USA",28,,,,,,
54,"David SHEEK","USA",42,,,,,,
55,"Aaron BRADFORD","USA",29,,,,,,
56,"Skyler TRUJILLO","USA",21,,,,,,
57,"Ted WILLARD","USA",32,,,,,,
58,"Allan REGO","USA",28,,,,,,
59,"Sergio HERNANDEZ","USA",28,,,,,,
60,"Jay KWAN","USA",33,,,,,,
