"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2",09/29/12,"International Cyclocross Marikovska Dolina"
1,"Martin BINA","CZE",30,01:01:48 AM,40,40,,,
2,"Zdenek MLYNAR","CZE",37,01:01:59 AM,30,30,,,
3,"Ondrej BAMBULA","CZE",26,01:02:18 AM,20,20,,,
4,"Robert GAVENDA","SVK",25,01:02:29 AM,15,15,,,
5,"Vojtech NIPL","CZE",20,01:02:35 AM,10,10,,,
6,"Milan BARENYI","SVK",39,01:02:38 AM,8,8,,,
7,"Michael BOROS","CZE",21,01:02:43 AM,6,6,,,
8,"Jakub SKALA","CZE",20,01:03:04 AM,4,4,,,
9,"Christoph PFINGSTEN","GER",26,01:03:14 AM,2,2,,,
10,"Matej LASAK","CZE",21,01:03:38 AM,1,1,,,
11,"Filip ADEL","CZE",23,01:04:01 AM,,,,,
12,"Radek POLNICKY","CZE",21,01:04:17 AM,,,,,
13,"Jan NESVADBA","CZE",22,01:04:30 AM,,,,,
14,"Jiri POLNICKY","CZE",24,01:04:56 AM,,,,,
15,"Martin HARING","SVK",27,01:05:26 AM,,,,,
16,"Maros KOVAC","SVK",36,01:05:40 AM,,,,,
17,"Karel NEPRAS","CZE",23,01:06:01 AM,,,,,
18,"Petr HAMPL","CZE",20,01:06:14 AM,,,,,
19,"Stefan GAJDOSIK","SVK",29,01:06:14 AM,,,,,
20,"Ondrej GLAJZA","SVK",19,01:07:26 AM,,,,,
21,"Robert GLAJZA","SVK",42,01:08:01 AM,,,,,
22,"Marek MICHALEC","SVK",21,01:08:22 AM,,,,,
23,"Daniel HULA","SVK",21," ",,,,,
24,"Gabor FEJES","HUN",24," ",,,,,
25,"Tomáš KUBEK","SVK",22," ",,,,,
26,"Bystrík GROLMUS","SVK",31," ",,,,,
27,"Lukáš BATORA","SVK",28," ",,,,,
28,"Martin SMYKAL","SVK",20," ",,,,,
29,"Jaroslav CHALAS","SVK",21," ",,,,,
30,"Mateusz CHMURZEWSKI","POL",23," ",,,,,
31,"Roman ZRELICA","SVK",28," ",,,,,
32,"Michal ALEXAJ","SVK",23,,,,,,
