Rank,Name,Nat.,Age*,Result,PaR,PcR,C2,09/09/12,Rohrbach's Ellison Park Day 2
1,Nicolas BAZIN,FRA,30,57:38:00,40,40,,,
2,Jeremy DURRIN,USA,25,58:05:00,30,30,,,
3,Troy WELLS,USA,29,58:06:00,20,20,,,
4,Craig RICHEY,CAN,29,58:08:00,15,15,,,
5,Justin LINDINE,USA,29,58:25:00,10,10,,,
6,Shawn MILNE,USA,32,59:00:00,8,8,,,
7,Jonathan PAGE,USA,37,59:28:00,6,6,,,
8,Robert MARION,USA,31,59:29:00,4,4,,,
9,Anthony CLARK,USA,26,59:47:00,2,2,,,
10,Chase DICKENS,USA,18,01:00:18 AM,1,0*,,,
11,Christian FAVATA,USA,35,01:00:27 AM,,,,,
12,Daniel CHABANOV,USA,26,01:00:51 AM,,,,,
13,Greg WITTWER,USA,30,01:00:56 AM,,,,,
14,Stephen CUMMINGS,USA,33,01:01:59 AM,,,,,
15,Paul MESI,USA,29,01:02:15 AM,,,,,
16,Andrew REARDON,USA,31,01:02:22 AM,,,,,
17,Bryan FAWLEY,USA,28,01:03:53 AM,,,,,
18,Jordan VILLELLA,USA,31,01:03:58 AM,,,,,
19,John PROPPE,USA,26, ,,,,,
20,Evan HUFF,USA,28, ,,,,,
21,Geoffrey BOUCHARD,USA,29, ,,,,,
22,Donny GREEN,USA,29, ,,,,,
23,Donald CUMMING,USA,29, ,,,,,
