"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2",09/27/12,"Gateway Cross Cup"
1,"Ben BERDEN","BEL",38,01:00:47 AM,40,40,,,
2,"Jonathan PAGE","USA",37,01:00:55 AM,30,30,,,
3,"Josh JOHNSON","USA",21,01:02:27 AM,20,20,,,
4,"Travis LIVERMON","USA",25,01:03:28 AM,15,15,,,
5,"Bryan FAWLEY","USA",28,01:03:33 AM,10,10,,,
6,"Andrew DILLMAN","USA",19,01:03:35 AM,8,8,,,
7,"Allen KRUGHOFF","USA",29,01:05:10 AM,6,6,,,
8,"Jacob LASLEY","USA",36,01:05:43 AM,4,4,,,
9,"Joseph SCHMALZ","USA",23,01:06:00 AM,2,2,,,
10,"Daniel MILLER","USA",34,01:06:25 AM,1,1,,,
11,"Brandon CROSS","USA",27,01:06:26 AM,,,,,
12,"Josh JOHNSON","USA",37,01:07:01 AM,,,,,
13,"Andrew REARDON","USA",31,01:07:24 AM,,,,,
14,"Luke HALEY","USA",19,01:08:04 AM,,,,,
15,"Daniel GEROW","USA",22," ",,,,,
16,"Devin CLARK","USA",29," ",,,,,
17,"Drew EDSALL","USA",32," ",,,,,
18,"Michael SMITH","USA",42," ",,,,,
19,"Alistair SPONSEL","USA",35,,,,,,
