1,"Sven NYS","BEL",37,56:41:00,40,40,"C2",09/29/12,"Fidea GP Neerpelt"
2,"Niels ALBERT","BEL",27,56:41:00,30,30,,,
3,"Klaas VANTORNOUT","BEL",31,57:06:00,20,20,,,
4,"Dieter VANTHOURENHOUT","BEL",28,57:12:00,15,15,,,
5,"Kevin PAUWELS","BEL",29,57:20:00,10,10,,,
6,"Bart WELLENS","BEL",35,57:20:00,8,8,,,
7,"Bart AERNOUTS","BEL",31,57:55:00,6,6,,,
8,"Tom MEEUSEN","BEL",25,58:04:00,4,4,,,
9,"Marcel MEISEN","GER",24,58:07:00,2,2,,,
10,"Radomir SIMUNEK","CZE",30,58:07:00,1,1,,,
11,"Rob PEETERS","BEL",28,58:07:00,,,,,
12,"Wietse BOSMANS","BEL",22,58:24:00,,,,,
13,"Gerben DE KNEGT","NED",38,58:26:00,,,,,
14,"Arnaud JOUFFROY","FRA",23,58:32:00,,,,,
15,"Thijs VAN AMERONGEN","NED",27,58:37:00,,,,,
16,"Jim AERNOUTS","BEL",24,58:54:00,,,,,
17,"Francis MOUREY","FRA",33,59:05:00,,,,,
18,"Philipp WALSLEBEN","GER",26,59:34:00,,,,,
19,"Vincent BAESTAENS","BEL",24,59:41:00,,,,,
20,"Joeri ADAMS","BEL",24,59:50:00,,,,,
21,"Thijs AL","NED",33,59:52:00,,,,,
22,"Egoitz MURGOITIO REKALDE","ESP",30,01:00:40 AM,,,,,
23,"Martin ZLAMALIK","CZE",31,01:00:53 AM,,,,,
24,"Aurelien DUVAL","FRA",25,01:00:57 AM,,,,,
25,"Mariusz GIL","POL",30,01:01:35 AM,,,,,
26,"Kenneth VAN COMPERNOLLE","BEL",25,01:02:10 AM,,,,,
27,"Dries PAUWELS","BEL",25," ",,,,,
28,"Jonathan LASTRA MARTINEZ","ESP",20," ",,,,,
29,"Fabian BRZEZINSKI","GER",32," ",,,,,
30,"Kenneth HANSEN","DEN",22," ",,,,,
31,"Tom VAN DEN BOSCH","BEL",28," ",,,,,
32,"Yannick MAYER","GER",22," ",,,,,
33,"Alexander REVELL","NZL",28," ",,,,,
34,"Maxim PANIS","BEL",20,,,,,,
