Rank,Name,Nat.,Age*,Result,PaR,PcR,C2,09/16/12,Nittany Lion Cross – Day 1
1,Jared NIETERS,USA,36,01:01:06 AM,40,40,,,
2,Bradley WHITE,USA,31,01:01:06 AM,30,30,,,
3,Craig RICHEY,CAN,29,01:01:20 AM,20,20,,,
4,Weston SCHEMPF,USA,36,01:01:25 AM,15,15,,,
5,Ryan DEWALD,USA,34,01:01:39 AM,10,10,,,
6,Ryan KNAPP,USA,29,01:01:58 AM,8,8,,,
7,Chase DICKENS,USA,18,01:02:03 AM,6,0*,,,
8,Alec DONAHUE,USA,37,01:02:06 AM,4,4,,,
9,Robert MARION,USA,31,01:02:13 AM,2,2,,,
10,Anthony CLARK,USA,26,01:02:28 AM,1,1,,,
11,Stephen CUMMINGS,USA,33,01:03:08 AM,,,,,
12,Gerald ADASAVAGE,USA,27,01:03:31 AM,,,,,
13,Wyatt STOUP,USA,23,01:03:34 AM,,,,,
14,Paul MESI,USA,29,01:03:39 AM,,,,,
15,Maurice GAMANHO,USA,41,01:03:44 AM,,,,,
16,Colin BECKER,USA,31,01:03:46 AM,,,,,
17,Maksym SHEPITKO,UKR,25,01:04:00 AM,,,,,
18,Stephen KINCAID,USA,41,01:04:11 AM,,,,,
19,Joshua THORNTON,USA,34,01:04:12 AM,,,,,
20,Cole OBERMAN,USA,23,01:04:13 AM,,,,,
21,Ryan LEECH,USA,36,01:04:39 AM,,,,,
22,Thomas SAMPSON,USA,24,01:04:43 AM,,,,,
23,Michael MIHALIK,USA,31,01:04:55 AM,,,,,
24,Jeffrey BAHNSON,USA,20,01:05:13 AM,,,,,
25,Jacob SITLER,USA,24,01:05:21 AM,,,,,
26,Steven ORDONS,USA,30,01:05:24 AM,,,,,
27,Michael YOZELL,USA,44,01:05:27 AM,,,,,
28,Forrest CONRAD,USA,19,01:05:44 AM,,,,,
29,Michael GREEN,USA,34,01:06:09 AM,,,,,
30,Cameron DODGE,USA,22,01:06:16 AM,,,,,
31,Jordan VILLELLA,USA,31,01:06:19 AM,,,,,
32,Christopher CONSORTO,USA,29,01:06:36 AM,,,,,
33,Timothy RUGG,USA,28,01:06:43 AM,,,,,
34,Mike FESTA,USA,30,01:06:46 AM,,,,,
35,Eric LUNDGREN,USA,29,01:06:48 AM,,,,,
36,Brett ROTHMEYER,USA,36,01:06:51 AM,,,,,
37,Matthew KUHN,USA,23,01:06:54 AM,,,,,
38,Martin KELL,USA,26,01:07:49 AM,,,,,
39,Brendan MCGRATH,USA,29,01:08:18 AM,,,,,
40,Patrick BRADLEY,USA,23, ,,,,,
41,Zach SEMIAN,USA,20, ,,,,,
42,Willem HEYDENDAEL,USA,35,,,,,,
