"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2",09/30/12,"Radcross Illnau"
1,"Julien TARAMARCAZ","SUI",26,01:01:04 AM,40,40,,,
2,"Enrico FRANZOI","ITA",31,01:01:21 AM,30,30,,,
3,"Simon ZAHNER","SUI",30,01:01:47 AM,20,20,,,
4,"Lukas FLÜCKIGER","SUI",29,01:01:56 AM,15,15,,,
5,"Mathias FLÜCKIGER","SUI",25,01:02:31 AM,10,10,,,
6,"Arnaud GRAND","SUI",23,01:02:36 AM,8,8,,,
7,"Kenneth VAN COMPERNOLLE","BEL",25,01:02:39 AM,6,6,,,
8,"Marcel WILDHABER","SUI",28,01:02:51 AM,4,4,,,
9,"Michael (JR) SCHWEIZER","GER",22,01:03:07 AM,2,2,,,
10,"Lars FORSTER","SUI",20,01:03:20 AM,1,1,,,
11,"Thijs AL","NED",33,01:03:25 AM,,,,,
12,"Marco PONTA","ITA",26,01:03:39 AM,,,,,
13,"Nicola ROHRBACH","SUI",27,01:03:52 AM,,,,,
14,"Lukas WINTERBERG","SUI",25,01:04:11 AM,,,,,
15,"David KASEK","CZE",31,01:04:21 AM,,,,,
16,"Jürg GRAF","SUI",30,01:04:22 AM,,,,,
17,"Laurent COLOMBATTO","FRA",35,01:04:23 AM,,,,,
18,"Andreas MOSER","SUI",29,01:04:24 AM,,,,,
19,"Thomas PACCAGNELLA","ITA",29,01:04:25 AM,,,,,
20,"Vladimir KYZIVAT","CZE",31,01:04:25 AM,,,,,
21,"Ole QUAST","GER",24,01:04:50 AM,,,,,
22,"Mitchell HUENDERS","NED",25,01:05:03 AM,,,,,
23,"Lukas MÜLLER","SUI",21,01:05:08 AM,,,,,
24,"Nico BRÜNGGER","SUI",25,01:05:34 AM,,,,,
25,"Andreas KUGLER","SUI",34,01:05:34 AM,,,,,
26,"Vaclav METLICKA","SVK",40,01:06:03 AM,,,,,
27,"Pirmin LANG","SUI",29,01:06:13 AM,,,,,
28,"Michael WILDHABER","SUI",23,01:06:45 AM,,,,,
29,"Fabian LIENHARD","SUI",20,01:07:02 AM,,,,,
30,"Jonas BAUMANN","SUI",28,01:07:34 AM,,,,,
31,"René LANG","SUI",27," ",,,,,
32,"Stefan ACHERMANN","SUI",25," ",,,,,
33,"Severin SAGESSER","SUI",21," ",,,,,
34,"Fabio Alfonso TODARO","ITA",21," ",,,,,
35,"Matthias ALLENSPACH","SUI",25," ",,,,,
36,"Gian Marco GASSER","SUI",22," ",,,,,
37,"Jirí REHÁK","CZE",19,,,,,,
