"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2","09/22/12","Toi Toi Cup - Round 1"
1,"Radomir SIMUNEK","CZE",30,01:00:00,40,40,,,
2,"Martin BINA","CZE",30,01:00:00,30,30,,,
3,"Lubomir PETRUS","CZE",23,01:00:12,20,20,,,
4,"Jakub SKALA","CZE",20,01:00:44,15,15,,,
5,"Petr DLASK","CZE",37,01:00:48,10,10,,,
6,"Jan NESVADBA","CZE",22,01:00:58,8,8,,,
7,"Tomas PAPRSTKA","CZE",21,01:00:59,6,6,,,
8,"Jiri POLNICKY","CZE",24,01:01:11,4,4,,,
9,"David KASEK","CZE",31,01:01:28,2,2,,,
10,"Vladimir KYZIVAT","CZE",31,01:01:38,1,1,,,
11,"Robert GAVENDA","SVK",25,01:01:42,,,,,
12,"Michael BOROS","CZE",21,01:01:44,,,,,
13,"Ondrej BAMBULA","CZE",26,01:02:22,,,,,
14,"Radek POLNICKY","CZE",21,01:02:25,,,,,
15,"Filip EBERL","CZE",31,01:02:25,,,,,
16,"Martin HARING","SVK",27,01:02:56,,,,,
17,"Vaclav METLICKA","SVK",40,01:03:17,,,,,
18,"Filip ADEL","CZE",23,01:03:58,,,,,
19,"Matej LASAK","CZE",21,01:04:19,,,,,
20,"Tomas PODRAZIL","CZE",28,01:04:33,,,,,
21,"Tomas BOHATA","CZE",20,01:05:06,,,,,
22,"Vojtech NIPL","CZE",20,01:05:14,,,,,
23,"Ondrej GLAJZA","SVK",19,01:05:55,,,,,
24,"Bretislav ROHEL","CZE",23,,,,,,
25,"Stanislav BAMBULA","CZE",30,,,,,,
26,"Petr HAMPL","CZE",20,,,,,,
27,"Jan SVOBODA","CZE",28,,,,,,
28,"Michal BENDA","CZE",30,,,,,,
29,"Grzegorz GRABAREK","POL",24,,,,,,
30,"Tomáš JANOŠEK","CZE",25,,,,,,
31,"Tomas NOVACEK","CZE",19,,,,,,
32,"Jakub RYDVAL","CZE",19,,,,,,
33,"Jirí REHÁK","CZE",19,,,,,,
34,"Tomáš JAKL","CZE",19,,,,,,
35,"Lukáš VENC","CZE",19,,,,,,
36,"Vit REHAK","CZE",19,,,,,,
37,"Lukáš MITAS","CZE",21,,,,,,
38,"Zbynek HOLUBOVSKÝ","CZE",20,,,,,,
39,"Michal BEDNÁR","CZE",24,,,,,,
40,"Marek SEDLÁCEK","CZE",21,,,,,,
41,"Tomáš STOLARÍK","CZE",19,,,,,,
42,"Tomas HOLICKY","CZE",25,,,,,,
43,"Tomáš NOVÝ","CZE",24,,,,,,
44,"Tomáš HAVELKA","CZE",24,,,,,,
45,"Václav SVATOŠ","CZE",27,,,,,,
